,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,Kinyua_Ngugi,Kinyua Ngugi,825938918,1158069844887187457,/Kinyua_Ngugi/status/1158069844887187457,2019-08-04 17:39:01,1564940341,@Safaricom_Care. I have not being able to access home fibre for the past few hours,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a>. I have not being able to access <strong>home</strong> <strong>fibre</strong> for the past few hours</p>",[],[],False,[],,0,0,1,True,False,,[]
1,MullaJames,james mulla,2991661769,1158019548643282944,/MullaJames/status/1158019548643282944,2019-08-04 14:19:10,1564928350,@SafaricomPLC poor customer care ever from Thursday i gave my http://no.to  you to call me about safaricom home fibre then yesterday you guys said 24hrs how many days have passed ?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""117685967"" dir=""ltr"" href=""/SafaricomPLC""><s>@</s><b>SafaricomPLC</b></a> poor customer care ever from Thursday i gave my <a class=""twitter-timeline-link"" data-expanded-url=""http://no.to"" dir=""ltr"" href=""https://t.co/gGT2ZUqvqL"" rel=""nofollow noopener"" target=""_blank"" title=""http://no.to""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">no.to</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> you to call me about <strong>safaricom</strong> <strong>home</strong> <strong>fibre</strong> then yesterday you guys said 24hrs how many days have passed ?</p>",['http://no.to'],[],False,[],,0,0,1,True,False,,[]
2,VMageka,Vivy :),490216188,1157969000489504768,/VMageka/status/1157969000489504768,2019-08-04 10:58:18,1564916298,@Safaricom_Care Hi my home fibre hasnt been working since yesterday morning acc no 11016959 please assist,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> Hi my <strong>home</strong> <strong>fibre</strong> hasnt been working since yesterday morning acc no 11016959 please assist</p>",[],[],False,[],,0,0,1,True,False,,[]
3,sackie84,Isaac,122393420,1157961337118625792,/sackie84/status/1157961337118625792,2019-08-04 10:27:51,1564914471,"@Safaricom_Care I activated my fibre home today. When I check I find my balance at 0. Please check and advise Asap. Find confirmation message below.
Your Safaricom Home Fibre service has been activated. Your account number is 11141378. Expiry date 2019-09-04 06:50:13.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> I activated my <strong>fibre</strong> <strong>home</strong> today. When I check I find my balance at 0. Please check and advise Asap. Find confirmation message below.
Your <strong>Safaricom</strong> <strong>Home</strong> <strong>Fibre</strong> service has been activated. Your account number is 11141378. Expiry date 2019-09-04 06:50:13.</p>",[],[],False,[],,0,0,1,True,False,,[]
4,KarwithaME,Ka Rwitha,724505742,1157944737149706240,/KarwithaME/status/1157944737149706240,2019-08-04 09:21:53,1564910513,@Safaricom_Care . What charges have you added to your home net? What is secure net? What is the 200 for? My fibre was okay without what you are calling secure net. Can I have my money back?? pic.twitter.com/6fxChFf0aP,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> . What charges have you added to your <strong>home</strong> net? What is secure net? What is the 200 for? My <strong>fibre</strong> was okay without what you are calling secure net. Can I have my money back?? <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/6fxChFf0aP"">pic.twitter.com/6fxChFf0aP</a></p>",[],[],True,['https://pbs.twimg.com/media/EBHYmbzXkAIoecC.jpg'],,0,0,1,True,False,,[]
5,Sidneysyddo,sidney sydo apinde,355533703,1157908708787150849,/Sidneysyddo/status/1157908708787150849,2019-08-04 06:58:43,1564901923,"@Safaricom_Care Hello when will the safaricom Home Fibre get to Upperhill(residential area behind Don Bosco church /Raddison Blu)
Was told wifi services only available to offices but not homes,we are suffering Zuku fibre is pathetic!!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> Hello when will the <strong>safaricom</strong> <strong>Home</strong> <strong>Fibre</strong> get to Upperhill(residential area behind Don Bosco church /Raddison Blu)
Was told wifi services only available to offices but not <strong>homes</strong>,we are suffering Zuku <strong>fibre</strong> is pathetic!!</p>",[],[],False,[],,0,0,1,True,False,,[]
6,victoriawokabi,TinyOne,882574212,1157893738842247170,/victoriawokabi/status/1157893738842247170,2019-08-04 05:59:14,1564898354,"@Safaricom_Care , please tell Home fibre to stop texting me even after I wrote an email and spoke to their consultant about how I can no longer use their services. I know letting go is hard, but I'll be back.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> , please tell <strong>Home</strong> <strong>fibre</strong> to stop texting me even after I wrote an email and spoke to their consultant about how I can no longer use their services. I know letting go is hard, but I'll be back.</p>",[],[],False,[],,0,0,1,True,False,,[]
7,Safaricom_Care,Safaricom Care,320662182,1157788528870330368,/Safaricom_Care/status/1157788528870330368,2019-08-03 23:01:10,1564873270,"Hi Robert, DM http://bit.ly/2lNteGi   your phone number we check. If it's home fibre connection, share your account number. ^GB","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi Robert, DM <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2lNteGi"" dir=""ltr"" href=""https://t.co/jF6LqBUAqM"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2lNteGi""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2lNteGi</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>  your phone number we check. If it's <strong>home</strong> <strong>fibre</strong> connection, share your account number. ^GB</p>",['http://bit.ly/2lNteGi'],[],False,[],,0,0,0,False,True,1157787841759449088,"[{'screen_name': 'mangi_kibonde', 'user_id': '2953582929'}]"
8,bonniesupreme,Bonventure Maingi,242686638,1157732919118585856,/bonniesupreme/status/1157732919118585856,2019-08-03 19:20:12,1564860012,@Safaricom_Care no connection o my home fibre..is there a cut A/C 11033089,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> no connection o my <strong>home</strong> <strong>fibre</strong>..is there a cut A/C 11033089</p>",[],[],False,[],,0,0,1,True,False,,[]
9,BillBlessed,Nu Imhotep,1114049475490795520,1157714550369738752,/BillBlessed/status/1157714550369738752,2019-08-03 18:07:12,1564855632,Hi @Safaricom_Care home fibre is lagging... :(,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> <strong>home</strong> <strong>fibre</strong> is lagging... :(</p>",[],[],False,[],,0,0,1,True,False,,[]
